City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,cap malheureux,-19.9842,57.6142,27.48,75,2,4.02,MU,1682056206
344,bogande,12.9714,-0.1436,29.14,13,99,2.26,BF,1682056206
345,calahorra,42.3051,-1.9652,6.95,76,94,0.61,ES,1682056208
346,beringovskiy,63.05,179.3167,-2.05,82,83,1.33,RU,1682056209
347,batuan,9.7808,124.1484,29.62,65,99,0.22,PH,1682056209
348,san policarpo,12.1791,125.5072,29.06,70,100,3.67,PH,1682056210
349,tweed,44.4751,-77.3162,8.55,68,97,4.05,CA,1682056210
350,ajdabiya,30.7554,20.2263,21.62,25,90,8.17,LY,1682056211
351,wajir,1.7471,40.0573,26.98,83,75,3.09,KE,1682056211
352,ulaangom,49.9811,92.0667,1.31,28,5,3.36,MN,1682056212
353,coihaique,-45.5752,-72.0662,10.97,71,100,3.09,CL,1682056213
354,tamworth,52.634,-1.6959,7.68,90,97,3.05,GB,1682056213
355,pacifica,37.6138,-122.4869,13.98,75,0,8.23,US,1682056214
356,longyearbyen,78.2186,15.6401,-14.09,61,20,6.17,SJ,1682055959
357,thul,28.2403,68.7759,33.71,8,0,2.44,PK,1682056216
358,chadiza,-14.0678,32.4392,20.32,77,1,1.56,ZM,1682056217
359,bereda,43.2686,-7.5406,8.97,100,100,0.44,ES,1682056217
360,bafia,4.75,11.2333,20.19,96,100,0.84,CM,1682056218
361,villamontes,-21.25,-63.5,15.77,75,0,1.93,BO,1682056218
362,shahreza,32.0339,51.8794,18.98,16,0,1.72,IR,1682056219
363,maniitsoq,65.4167,-52.9,0.74,74,98,2.57,GL,1682056220
364,springfield,37.2153,-93.2982,11.92,75,0,3.6,US,1682056152
365,anito,12.4497,125.2886,30.29,65,98,4.07,PH,1682056221
366,dalvik,65.9702,-18.5286,3.96,98,27,5.23,IS,1682056222
367,tuscaloosa,33.2098,-87.5692,16.88,77,0,0.0,US,1682056072
368,amahai,-3.3333,128.9167,29.28,73,61,3.34,ID,1682056223
369,djambala,-2.5447,14.7533,20.76,93,100,1.71,CG,1682056224
370,wajima,37.4,136.9,13.38,50,75,3.09,JP,1682056225
371,cayenne,4.9333,-52.3333,26.02,94,75,2.06,GF,1682056226
372,matsusaka,34.5667,136.5333,21.94,57,100,6.25,JP,1682056226
373,krasnoborsk,61.5598,45.934,2.57,95,100,1.63,RU,1682056227
374,marquette,46.5333,-87.6335,3.69,96,100,2.24,US,1682056227
375,orlik,52.5178,99.825,-6.36,44,48,4.15,RU,1682056228
376,koulikoro,14.0,-7.75,26.84,20,44,4.49,ML,1682056228
377,valparaiso,-33.0393,-71.6273,16.67,62,100,2.06,CL,1682056229
378,singleton,-32.5667,151.1833,21.66,60,88,3.58,AU,1682056230
379,puerto leguizamo,-0.1934,-74.7819,22.12,99,100,1.65,CO,1682056230
380,provins,48.5833,3.1667,3.86,88,71,1.6,FR,1682056231
381,nancha,47.1333,129.2667,7.99,31,100,7.45,CN,1682056231
382,kiunga,-6.1219,141.2906,28.55,88,50,1.26,PG,1682056232
383,asuncion,-25.3007,-57.6359,12.72,88,0,2.57,PY,1682056192
384,portland,45.5234,-122.6762,9.49,93,100,4.92,US,1682056217
385,sao francisco do sul,-26.2433,-48.6381,15.37,76,39,1.19,BR,1682056233
386,lufilufi,-13.8745,-171.5986,28.88,80,89,8.64,WS,1682056234
387,sortavala,61.7053,30.6918,2.83,99,100,2.65,RU,1682056235
388,kunming,25.0389,102.7183,25.96,21,0,10.0,CN,1682056235
389,nabire,-3.3667,135.4833,29.91,71,29,2.37,ID,1682056236
390,los algarrobos,8.5,-82.4333,23.64,78,7,1.87,PA,1682056236
